epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.962,2.51436,3.2751,1.42024,0.82693,0.30978,0.36235,0.14141,2.16109,2.77775,1.2655,0.000466807,0.000466807,0.000466807
2,326.964,2.06417,2.00338,1.13574,0.69351,0.53123,0.62603,0.32434,1.82901,2.10083,1.15981,0.000896455,0.000896455,0.000896455
3,461.426,1.93374,1.45635,1.11108,0.78445,0.78362,0.83766,0.45098,1.70421,1.254,1.11843,0.00127895,0.00127895,0.00127895
4,698.438,1.80487,1.24323,1.05872,0.82092,0.89012,0.90561,0.48526,1.5967,1.03119,1.07794,0.00121679,0.00121679,0.00121679
5,929.397,1.70752,1.11168,1.04316,0.87413,0.86012,0.91917,0.53481,1.54698,0.96065,1.05654,0.00114606,0.00114606,0.00114606
6,1105.38,1.58864,1.02226,1.01595,0.87738,0.84938,0.91513,0.52495,1.49553,0.97922,1.02196,0.00107532,0.00107532,0.00107532
7,1269.12,1.53884,0.95895,1.00638,0.90346,0.91413,0.94215,0.57968,1.38052,0.82071,0.9925,0.00100459,0.00100459,0.00100459
8,1497.67,1.49917,0.96215,1.00119,0.88517,0.91584,0.9416,0.59234,1.3188,0.83849,0.99329,0.000933851,0.000933851,0.000933851
9,1730.27,1.4805,0.93955,0.98637,0.88344,0.90386,0.94905,0.57567,1.38039,0.82223,0.99953,0.000863116,0.000863116,0.000863116
10,1953.52,1.39605,0.85285,0.9631,0.89494,0.92961,0.94543,0.60438,1.27571,0.79314,0.97081,0.00079238,0.00079238,0.00079238
11,2167.28,1.34751,0.85105,0.97713,0.91016,0.93668,0.9501,0.61331,1.24782,0.76891,0.97384,0.000721645,0.000721645,0.000721645
12,4210.59,1.28452,0.81047,0.96035,0.93406,0.93304,0.95937,0.6311,1.2268,0.74898,0.96153,0.000650909,0.000650909,0.000650909
13,4402.52,1.23431,0.77835,0.94435,0.92623,0.94098,0.96402,0.63761,1.23473,0.73197,0.96102,0.000580174,0.000580174,0.000580174
14,4597.32,1.20033,0.75082,0.93855,0.93554,0.94009,0.96393,0.65126,1.15984,0.68954,0.94331,0.000509438,0.000509438,0.000509438
15,4798.62,1.1967,0.72822,0.93008,0.9315,0.94039,0.96816,0.63774,1.20014,0.69308,0.9506,0.000438703,0.000438703,0.000438703
16,4968.37,1.18418,0.75121,0.92639,0.9443,0.95111,0.96923,0.66406,1.12568,0.66942,0.93261,0.000367967,0.000367967,0.000367967
17,5146.08,1.14124,0.72551,0.92137,0.92909,0.94846,0.97143,0.67582,1.09394,0.65496,0.92331,0.000297232,0.000297232,0.000297232
18,5302.08,1.14412,0.71736,0.91413,0.93917,0.95476,0.96961,0.683,1.07524,0.64427,0.91941,0.000226497,0.000226497,0.000226497
19,5446.72,1.0988,0.70703,0.90812,0.94156,0.9496,0.96898,0.67837,1.0835,0.64782,0.9236,0.000155761,0.000155761,0.000155761
20,5611.94,1.09836,0.68825,0.90527,0.94279,0.95242,0.96904,0.68887,1.0525,0.63542,0.91582,8.50255e-05,8.50255e-05,8.50255e-05
